Province;Rate
Türkiye-Türkiye;2,01
Adana;2,08
Adıyaman;1,01
Afyonkarahisar;2,04
Ağrı;0,84
Amasya;1,87
Ankara;2,48
Antalya;2,94
Artvin;1,37
Aydın;2,69
Balıkesir;2,43
Bilecik;2,15
Bingöl;0,80
Bitlis;0,57
Bolu;1,83
Burdur;2,26
Bursa;2,13
Çanakkale;2,48
Çankırı;1,62
Çorum;2,21
Denizli;2,60
Diyarbakır;0,89
Edirne;2,11
Elazığ;1,56
Erzincan;1,63
Erzurum;1,05
Eskişehir;2,77
Gaziantep;1,71
Giresun;1,60
Gümüşhane;0,82
Hakkari;0,36
Hatay;1,48
Isparta;2,08
Mersin;2,47
İstanbul;2,11
İzmir;3,05
Kars;0,95
Kastamonu;1,35
Kayseri;2,23
Kırklareli;2,19
Kırşehir;2,20
Kocaeli;2,28
Konya;2,14
Kütahya;1,85
Malatya;1,13
Manisa;2,32
Kahramanmaraş;1,59
Mardin;0,81
Muğla;2,76
Muş;0,55
Nevşehir;2,29
Niğde;2,19
Ordu;1,89
Rize;1,09
Sakarya;2,05
Samsun;1,98
Siirt;0,59
Sinop;2,05
Sivas;1,38
Tekirdağ;2,52
Tokat;1,71
Trabzon;1,32
Tunceli;2,10
Şanlıurfa;0,80
Uşak;2,59
Van;0,74
Yozgat;1,80
Zonguldak;2,05
Aksaray;2,21
Bayburt;0,90
Karaman;2,80
Kırıkkale;2,46
Batman;0,72
Şırnak;0,44
Bartın;2,15
Ardahan;1,14
Iğdır;1,47
Yalova;1,89
Karabük;2,04
Kilis;1,59
Osmaniye;1,61
Düzce;2,24